Frequency,EarTag,Alive,Point,UTMZone,Easting,Northing,Azimuth,Date,Time_O,Time,AM_PM,Line,Wind,Rain,Temp,Clouds,Notes,SampleTimeCat,SampleTimeGeneral,Observer,Grid
149.142,A6704,Yes,1,22,279215,5359442,342,2017-07-13,16:40:31,164031,PM,1,Mild,Clear,Warm,2out8,,EarlyEvening,Evening,TH,BL
149.142,A6704,Yes,2,22,278939,5359617,79,2017-07-13,17:14:17,171417,PM,2,Mild,Clear,Warm,2out9,,EarlyEvening,Evening,TH,BL
149.142,A6704,Yes,3,22,278674,5359835,108,2017-07-13,17:42:52,174252,PM,3,Mild,Clear,Warm,2out10,,EarlyEvening,Evening,TH,BL
149.142,A6704,Yes,1,22,279212,5359446,22,2017-07-16,10:18:52,101852,AM,1,Mild,Clear,Warm,1out8,"Strong, prob close",LateMorning,Morning,MR,BL
149.142,A6704,Yes,2,22,278951,5359709,116,2017-07-16,11:10:13,111013,AM,2,Mild,Clear,Warm,1out8,,LateMorning,Morning,MR,BL
149.142,A6704,Yes,3,22,278647,5359881,,2017-07-16,11:57:09,115709,AM,,Calm,Clear,Warm,1out8,Not heard,LateMorning,Morning,MR,BL
149.142,A6704,Yes,4,22,278830,5359752,,2017-07-16,12:11:40,121140,AM,,Calm,Clear,Warm,1out8,Not heard,EarlyAfternoon,Afternoon,MR,BL
149.142,A6704,Yes,5,22,279331,5359461,324,2017-07-16,12:32:07,123207,AM,3,Calm,Clear,Warm,1out8,,EarlyAfternoon,Afternoon,MR,BL
149.142,A6704,Yes,1,22,279214,5359441,37,2017-07-16,16:52:52,165252,PM,1,Mild,Clear,Warm,1out8,,EarlyEvening,Evening,MR,BL
149.142,A6704,Yes,2,22,278952,5359712,90,2017-07-16,17:22:43,172243,PM,2,Mild,Clear,Warm,1out8,,EarlyEvening,Evening,MR,BL
149.142,A6704,Yes,4,22,278932,5359538,84,2017-07-16,18:16:31,181631,PM,3,Calm,Clear,Warm,1out8,,LateEvening,Evening,MR,BL
149.142,A6704,Yes,5,22,279326,5359461,352,2017-07-16,18:25:46,182546,PM,4,Mild,Clear,Warm,1out8,,LateEvening,Evening,MR,BL
149.142,A6704,Yes,1,22,279214,5359445,25,2017-07-19,9:12:35,91235,AM,1,Mild,Clear,Mild,8out8,Very strong,EarlyMorning,Morning,MR,BL
149.142,A6704,Yes,2,22,278951,5359713,98,2017-07-19,9:59:57,95957,AM,2,Calm,Clear,Warm,6out8,Interferences in the signal,EarlyMorning,Morning,MR,BL
149.142,A6704,Yes,5,22,279325,5359463,358,2017-07-19,11:38:01,113801,AM,3,Calm,Clear,Warm,1out8,Triangulated,LateMorning,Morning,MR,BL
149.142,A6704,Yes,6,22,279214,5359447,8,2017-07-19,16:35:05,163505,PM,1,Mild,Clear,Warm,7out8,,EarlyEvening,Evening,MR,BL
149.142,A6704,Yes,7,22,278949,5359713,84,2017-07-19,17:16:33,171633,PM,2,Mild,Clear,Warm,7out8,,EarlyEvening,Evening,MR,BL
149.142,A6704,Yes,8,22,278860,5359958,118,2017-07-19,17:54:25,175425,PM,3,Calm,Clear,Warm,5out8,Triangulated,EarlyEvening,Evening,MR,BL
149.142,A6704,No,1,22,279217,5359445,22,2017-07-22,9:51:26,95126,AM,1,Mild,Clear,Mild,8out8,On BloomField Wide view,EarlyMorning,Morning,MR,BL
149.142,A6704,No,2,22,279327,5359463,346,2017-07-22,10:08:52,100852,AM,1,Calm,Clear,Warm,8out8,Very strong,LateMorning,Morning,MR,BL
149.142,A6704,No,3,22,278952,5359714,102,2017-07-22,10:40:15,104015,AM,3,Calm,Clear,Warm,8out8,Triangulated,LateMorning,Morning,MR,BL
149.142,A6704,No,1,22,279214,5359445,11,2017-07-24,9:48:06,94806,AM,1,Strong,Clear,Mild,1out8,,EarlyMorning,Morning,MR,BL
149.142,A6704,No,2,22,279244,5359799,124,2017-07-24,10:26:29,102629,AM,2,Strong,Clear,Mild,1out8,,LateMorning,Morning,MR,BL
149.142,A6704,No,3,22,278979,5359907,109,2017-07-24,11:07:05,110705,AM,3,Strong,Clear,Warm,2out8,,LateMorning,Morning,MR,BL
149.142,A6704,No,1,22,279214,5359444,36,2017-08-16,12:04:34,120434,PM,2,,,,,,EarlyAfternoon,Afternoon,MR,BL
149.142,A6704,No,5,22,278934,5359533,86,2017-08-16,12:39:54,123954,PM,3,,,,,,EarlyAfternoon,Afternoon,MR,BL
149.142,A6704,No,2,22,278949,5359714,104,2017-08-16,12:50:00,125000,PM,4,,,,,,EarlyAfternoon,Afternoon,MR,BL
149.142,A6704,No,6,22,279243,5359794,148,2017-08-16,,0,,1,,,,,,,,MR,BL
149.142,A6704,No,1,22,279215,5359443,30,2017-08-19,16:10:01,161001,PM,1,Calm,Clear,Warm,7out8,,LateAfternoon,Afternoon,MR,BL
149.142,A6704,No,6,22,278935,5359538,90,2017-08-19,16:20:27,162027,PM,2,Calm,Clear,Mild,1out8,,LateAfternoon,Afternoon,MR,BL
149.142,A6704,No,7,22,279146,5359872,149,2017-08-19,17:06:00,170600,PM,3,Calm,Clear,Mild,1out8,,EarlyEvening,Evening,MR,BL
149.142,A6704,No,1,22,279215,5359445,39,2017-08-20,9:25:11,92511,AM,1,Mild,Clear,Mild,8out8,,EarlyMorning,Morning,MR,BL
149.142,A6704,No,2,22,279141,5359873,149,2017-08-20,9:37:21,93721,AM,2,Mild,Clear,Mild,8out8,,EarlyMorning,Morning,MR,BL
149.142,A6704,No,5,22,278733,5359800,116,2017-08-20,11:34:45,113445,AM,3,Mild,Clear,Warm,2out8,"Not great, very faint",LateMorning,Morning,MR,BL
149.142,A6704,No,6,22,278946,5359710,110,2017-08-20,11:55:53,115553,AM,3,Mild,Clear,Warm,6out8,,LateMorning,Morning,MR,BL
149.142,A6704,Yes,1,22,279215,5359446,28,2017-08-21,9:53:44,95344,AM,1,Strong,Drizzle,Mild,8out8,Was dead when last heard,EarlyMorning,Morning,MR,BL
149.142,A6704,Yes,2,22,279142,5359874,134,2017-08-21,10:10:40,101040,AM,2,Mild,Clear,Mild,8out8,Was dead when last heard,LateMorning,Morning,MR,BL
149.142,A6704,No,5,22,278948,5359706,88,2017-08-21,11:53:22,115322,AM,3,Mild,Clear,Warm,5out8,,LateMorning,Morning,MR,BL
149.142,A6704,No,6,22,278935,5359529,70,2017-08-21,12:24:31,122431,PM,4,Mild,Clear,Warm,7out8,,EarlyAfternoon,Afternoon,MR,BL
149.142,A6704,No,1,22,279213,5359444,32,2017-08-22,13:57:48,135748,PM,1,Very Strong,Clear,Warm,1out8,,EarlyAfternoon,Afternoon,MR,BL
149.142,A6704,No,2,22,278950,5359713,99,2017-08-22,14:50:45,145045,PM,2,Very Strong,Clear,Warm,1out8,,LateAfternoon,Afternoon,MR,BL
149.142,A6704,No,6,22,279145,5359872,141,2017-08-22,16:47:31,164731,PM,3,Strong,Clear,Warm,1out8,,EarlyEvening,Evening,MR,BL
149.142,A6704,No,7,22,279327,5359466,0,2017-08-22,17:13:32,171332,PM,4,Strong,Clear,Warm,1out8,,EarlyEvening,Evening,MR,BL
149.142,A6704,No,1,22,279215,5359442,30,2017-08-23,10:31:10,103110,AM,1,Calm,Clear,Warm,8out8,,LateMorning,Morning,MR,BL
149.142,A6704,No,2,22,278950,5359715,71,2017-08-23,11:12:41,111241,AM,2,Mild,Clear,Warm,8out8,,LateMorning,Morning,MR,BL
149.142,A6704,No,5,22,278844,5359888,107,2017-08-23,12:48:35,124835,PM,3,Mild,Clear,Warm,2out8,,EarlyAfternoon,Afternoon,MR,BL
149.142,A6704,No,6,22,279147,5359873,140,2017-08-23,13:22:47,132247,PM,3,Mild,Clear,Warm,2out8,,EarlyAfternoon,Afternoon,MR,BL
149.193,A3722,No,1,22,279215,5359447,252,2017-06-27,18:35:14,183514,PM,1,Strong,Clear,Mild,1out8,Very strong,LateEvening,Evening,MR,BL
149.193,A3722,No,2,22,279221,5360024,,2017-06-27,19:13:36,191336,PM,,Mild,Clear,Warm,1out8,Not heard,LateEvening,Evening,MR,BL
149.193,A3722,No,3,22,279037,5359562,223,2017-06-27,19:58:13,195813,PM,2,Calm,Clear,Mild,1out8,,LateEvening,Evening,MR,BL
149.193,A3722,No,4,22,278833,5359753,152,2017-06-27,20:42:02,204202,PM,3,Calm,Clear,Mild,1out8,,LateEvening,Evening,MR,BL
149.193,A3722,No,1,22,279213,5359444,244,2017-06-28,7:08:17,70817,AM,1,Calm,Clear,Mild,8out8,,EarlyMorning,Morning,MR,BL
149.193,A3722,No,2,22,279188,5360019,178,2017-06-28,7:45:06,74506,AM,,Calm,Clear,Mild,8out8,Weak,EarlyMorning,Morning,MR,BL
